name_a,type_a,name_b,type_b,similarity,tag,model,a_b_type
text color red text red,text,text_color-red_text-red.png,image,0.31645193696022034,color-text,base,text-image
text color red text red,text,text_color-red_text-blue.png,image,0.291128009557724,color-text,base,text-image
text color red text red,text,text_color-red_text-black.png,image,0.281615674495697,color-text,base,text-image
text color red text red,text,text_color-red_text-赤.png,image,0.23675163090229034,color-text,base,text-image
text color red text red,text,text_color-red_text-青.png,image,0.24115018546581268,color-text,base,text-image
text color red text red,text,text_color-red_text-黒.png,image,0.2268209159374237,color-text,base,text-image
text color red text red,text,text_color-blue_text-red.png,image,0.306703120470047,color-text,base,text-image
text color red text red,text,text_color-blue_text-blue.png,image,0.27634263038635254,color-text,base,text-image
text color red text red,text,text_color-blue_text-black.png,image,0.26327231526374817,color-text,base,text-image
text color red text red,text,text_color-blue_text-赤.png,image,0.21321053802967072,color-text,base,text-image
text color red text red,text,text_color-blue_text-青.png,image,0.21644756197929382,color-text,base,text-image
text color red text red,text,text_color-blue_text-黒.png,image,0.19443325698375702,color-text,base,text-image
text color red text red,text,text_color-black_text-red.png,image,0.2845611572265625,color-text,base,text-image
text color red text red,text,text_color-black_text-blue.png,image,0.268941193819046,color-text,base,text-image
text color red text red,text,text_color-black_text-black.png,image,0.2629983723163605,color-text,base,text-image
text color red text red,text,text_color-black_text-赤.png,image,0.21856461465358734,color-text,base,text-image
text color red text red,text,text_color-black_text-青.png,image,0.22439667582511902,color-text,base,text-image
text color red text red,text,text_color-black_text-黒.png,image,0.1945938616991043,color-text,base,text-image
text color red text blue,text,text_color-red_text-red.png,image,0.3116297423839569,color-text,base,text-image
text color red text blue,text,text_color-red_text-blue.png,image,0.31650984287261963,color-text,base,text-image
text color red text blue,text,text_color-red_text-black.png,image,0.27918943762779236,color-text,base,text-image
text color red text blue,text,text_color-red_text-赤.png,image,0.2346467524766922,color-text,base,text-image
text color red text blue,text,text_color-red_text-青.png,image,0.23814207315444946,color-text,base,text-image
text color red text blue,text,text_color-red_text-黒.png,image,0.22060361504554749,color-text,base,text-image
text color red text blue,text,text_color-blue_text-red.png,image,0.3108639121055603,color-text,base,text-image
text color red text blue,text,text_color-blue_text-blue.png,image,0.3045356273651123,color-text,base,text-image
text color red text blue,text,text_color-blue_text-black.png,image,0.2710629403591156,color-text,base,text-image
text color red text blue,text,text_color-blue_text-赤.png,image,0.23113758862018585,color-text,base,text-image
text color red text blue,text,text_color-blue_text-青.png,image,0.2317141443490982,color-text,base,text-image
text color red text blue,text,text_color-blue_text-黒.png,image,0.20895077288150787,color-text,base,text-image
text color red text blue,text,text_color-black_text-red.png,image,0.275896817445755,color-text,base,text-image
text color red text blue,text,text_color-black_text-blue.png,image,0.29102790355682373,color-text,base,text-image
