name_a,type_a,name_b,type_b,similarity,tag,model,a_b_type
y = x,text,y=x.png,image,0.2635912299156189,graph,base,text-image
y = x,text,y=x^2.png,image,0.2694103717803955,graph,base,text-image
y = x,text,y=sin(x).png,image,0.26048189401626587,graph,base,text-image
y = x,text,y=log(x).png,image,0.2577199339866638,graph,base,text-image
y = x,text,y=softmax(x).png,image,0.2580491006374359,graph,base,text-image
y = x^2,text,y=x.png,image,0.26930445432662964,graph,base,text-image
y = x^2,text,y=x^2.png,image,0.2730278968811035,graph,base,text-image
y = x^2,text,y=sin(x).png,image,0.26667678356170654,graph,base,text-image
y = x^2,text,y=log(x).png,image,0.26123183965682983,graph,base,text-image
y = x^2,text,y=softmax(x).png,image,0.2614847421646118,graph,base,text-image
y = sin(x),text,y=x.png,image,0.2677621841430664,graph,base,text-image
y = sin(x),text,y=x^2.png,image,0.27939125895500183,graph,base,text-image
y = sin(x),text,y=sin(x).png,image,0.2630254924297333,graph,base,text-image
y = sin(x),text,y=log(x).png,image,0.260231614112854,graph,base,text-image
y = sin(x),text,y=softmax(x).png,image,0.2606836259365082,graph,base,text-image
y = log(x),text,y=x.png,image,0.27698832750320435,graph,base,text-image
y = log(x),text,y=x^2.png,image,0.2837706506252289,graph,base,text-image
y = log(x),text,y=sin(x).png,image,0.27514636516571045,graph,base,text-image
y = log(x),text,y=log(x).png,image,0.2715406119823456,graph,base,text-image
y = log(x),text,y=softmax(x).png,image,0.2712424099445343,graph,base,text-image
y = softmax(x),text,y=x.png,image,0.2876072824001312,graph,base,text-image
y = softmax(x),text,y=x^2.png,image,0.3004942834377289,graph,base,text-image
y = softmax(x),text,y=sin(x).png,image,0.29492318630218506,graph,base,text-image
y = softmax(x),text,y=log(x).png,image,0.2921314835548401,graph,base,text-image
y = softmax(x),text,y=softmax(x).png,image,0.2812575399875641,graph,base,text-image
graph,text,y=x.png,image,0.2956780791282654,graph,base,text-image
graph,text,y=x^2.png,image,0.2918451726436615,graph,base,text-image
graph,text,y=sin(x).png,image,0.28130683302879333,graph,base,text-image
graph,text,y=log(x).png,image,0.285978764295578,graph,base,text-image
graph,text,y=softmax(x).png,image,0.2942390739917755,graph,base,text-image
グラフ,text,y=x.png,image,0.21746625006198883,graph,base,text-image
グラフ,text,y=x^2.png,image,0.21316953003406525,graph,base,text-image
グラフ,text,y=sin(x).png,image,0.21307624876499176,graph,base,text-image
