name_a,type_a,name_b,type_b,similarity,tag,model,a_b_type
TOKYO TOWER,text,TOKYO-TOWER.jpg,image,0.30706506967544556,object,base,text-image
TOKYO TOWER,text,TOKYO-SKYTREE.jpg,image,0.2813296318054199,object,base,text-image
TOKYO TOWER,text,Tour-Eiffel.jpg,image,0.23977354168891907,object,base,text-image
TOKYO TOWER,text,Statue-of-Liberty.jpg,image,0.1648848056793213,object,base,text-image
TOKYO TOWER,text,Big-Ben.jpg,image,0.16585242748260498,object,base,text-image
TOKYO SKYTREE,text,TOKYO-TOWER.jpg,image,0.28169283270835876,object,base,text-image
TOKYO SKYTREE,text,TOKYO-SKYTREE.jpg,image,0.31679028272628784,object,base,text-image
TOKYO SKYTREE,text,Tour-Eiffel.jpg,image,0.21376270055770874,object,base,text-image
TOKYO SKYTREE,text,Statue-of-Liberty.jpg,image,0.18341979384422302,object,base,text-image
TOKYO SKYTREE,text,Big-Ben.jpg,image,0.1732148677110672,object,base,text-image
Tour Eiffel,text,TOKYO-TOWER.jpg,image,0.2626771032810211,object,base,text-image
Tour Eiffel,text,TOKYO-SKYTREE.jpg,image,0.21160879731178284,object,base,text-image
Tour Eiffel,text,Tour-Eiffel.jpg,image,0.3142501711845398,object,base,text-image
Tour Eiffel,text,Statue-of-Liberty.jpg,image,0.21976768970489502,object,base,text-image
Tour Eiffel,text,Big-Ben.jpg,image,0.19984783232212067,object,base,text-image
Statue of Liberty,text,TOKYO-TOWER.jpg,image,0.19694030284881592,object,base,text-image
Statue of Liberty,text,TOKYO-SKYTREE.jpg,image,0.19920410215854645,object,base,text-image
Statue of Liberty,text,Tour-Eiffel.jpg,image,0.23521466553211212,object,base,text-image
Statue of Liberty,text,Statue-of-Liberty.jpg,image,0.30865374207496643,object,base,text-image
Statue of Liberty,text,Big-Ben.jpg,image,0.17965587973594666,object,base,text-image
Big Ben,text,TOKYO-TOWER.jpg,image,0.22756794095039368,object,base,text-image
Big Ben,text,TOKYO-SKYTREE.jpg,image,0.21468016505241394,object,base,text-image
Big Ben,text,Tour-Eiffel.jpg,image,0.24903063476085663,object,base,text-image
Big Ben,text,Statue-of-Liberty.jpg,image,0.2083226889371872,object,base,text-image
Big Ben,text,Big-Ben.jpg,image,0.3287542164325714,object,base,text-image
TOKYO TOWER,text,Japan,text,0.7228085398674011,object,base,text-text
TOKYO TOWER,text,France,text,0.5919226408004761,object,base,text-text
TOKYO TOWER,text,USA,text,0.6076498031616211,object,base,text-text
TOKYO TOWER,text,UK,text,0.5985913276672363,object,base,text-text
TOKYO SKYTREE,text,Japan,text,0.6845090985298157,object,base,text-text
TOKYO SKYTREE,text,France,text,0.6052126884460449,object,base,text-text
TOKYO SKYTREE,text,USA,text,0.5829421877861023,object,base,text-text
TOKYO SKYTREE,text,UK,text,0.5849634408950806,object,base,text-text
Tour Eiffel,text,Japan,text,0.7417725324630737,object,base,text-text
Tour Eiffel,text,France,text,0.8035749197006226,object,base,text-text
Tour Eiffel,text,USA,text,0.7466375827789307,object,base,text-text
Tour Eiffel,text,UK,text,0.7376530170440674,object,base,text-text
Statue of Liberty,text,Japan,text,0.7447241544723511,object,base,text-text
Statue of Liberty,text,France,text,0.7859213948249817,object,base,text-text
Statue of Liberty,text,USA,text,0.7920656800270081,object,base,text-text
Statue of Liberty,text,UK,text,0.7414538860321045,object,base,text-text
Big Ben,text,Japan,text,0.7690385580062866,object,base,text-text
Big Ben,text,France,text,0.7637001872062683,object,base,text-text
Big Ben,text,USA,text,0.8109518885612488,object,base,text-text
Big Ben,text,UK,text,0.8088937997817993,object,base,text-text
Japan,text,TOKYO-TOWER.jpg,image,0.2537114918231964,object,base,text-image
Japan,text,TOKYO-SKYTREE.jpg,image,0.2730621099472046,object,base,text-image
Japan,text,Tour-Eiffel.jpg,image,0.22145803272724152,object,base,text-image
Japan,text,Statue-of-Liberty.jpg,image,0.2198987603187561,object,base,text-image
Japan,text,Big-Ben.jpg,image,0.1877829134464264,object,base,text-image
France,text,TOKYO-TOWER.jpg,image,0.2299860119819641,object,base,text-image
France,text,TOKYO-SKYTREE.jpg,image,0.19778242707252502,object,base,text-image
France,text,Tour-Eiffel.jpg,image,0.275540828704834,object,base,text-image
France,text,Statue-of-Liberty.jpg,image,0.23595483601093292,object,base,text-image
France,text,Big-Ben.jpg,image,0.21370764076709747,object,base,text-image
USA,text,TOKYO-TOWER.jpg,image,0.2197573333978653,object,base,text-image
USA,text,TOKYO-SKYTREE.jpg,image,0.2174367904663086,object,base,text-image
USA,text,Tour-Eiffel.jpg,image,0.23394496738910675,object,base,text-image
USA,text,Statue-of-Liberty.jpg,image,0.2582269012928009,object,base,text-image
USA,text,Big-Ben.jpg,image,0.20558619499206543,object,base,text-image
UK,text,TOKYO-TOWER.jpg,image,0.21902593970298767,object,base,text-image
UK,text,TOKYO-SKYTREE.jpg,image,0.204813614487648,object,base,text-image
UK,text,Tour-Eiffel.jpg,image,0.21970051527023315,object,base,text-image
UK,text,Statue-of-Liberty.jpg,image,0.20908135175704956,object,base,text-image
UK,text,Big-Ben.jpg,image,0.27134767174720764,object,base,text-image
TOKYO TOWER,text,TOKYO SKYTREE,text,0.826424241065979,object,base,text-text
TOKYO TOWER,text,Tour Eiffel,text,0.7567921876907349,object,base,text-text
TOKYO TOWER,text,Statue of Liberty,text,0.6316202878952026,object,base,text-text
TOKYO TOWER,text,Big Ben,text,0.6366456747055054,object,base,text-text
TOKYO SKYTREE,text,Tour Eiffel,text,0.7025019526481628,object,base,text-text
TOKYO SKYTREE,text,Statue of Liberty,text,0.6498716473579407,object,base,text-text
TOKYO SKYTREE,text,Big Ben,text,0.6285327672958374,object,base,text-text
Tour Eiffel,text,Statue of Liberty,text,0.7788112759590149,object,base,text-text
Tour Eiffel,text,Big Ben,text,0.7813126444816589,object,base,text-text
Statue of Liberty,text,Big Ben,text,0.7565819025039673,object,base,text-text
TOKYO-TOWER.jpg,image,TOKYO-SKYTREE.jpg,image,0.8503223061561584,object,base,image-image
TOKYO-TOWER.jpg,image,Tour-Eiffel.jpg,image,0.8002135753631592,object,base,image-image
TOKYO-TOWER.jpg,image,Statue-of-Liberty.jpg,image,0.7022215723991394,object,base,image-image
TOKYO-TOWER.jpg,image,Big-Ben.jpg,image,0.6249058246612549,object,base,image-image
TOKYO-SKYTREE.jpg,image,Tour-Eiffel.jpg,image,0.7524943351745605,object,base,image-image
TOKYO-SKYTREE.jpg,image,Statue-of-Liberty.jpg,image,0.6539771556854248,object,base,image-image
TOKYO-SKYTREE.jpg,image,Big-Ben.jpg,image,0.6103271245956421,object,base,image-image
Tour-Eiffel.jpg,image,Statue-of-Liberty.jpg,image,0.7279864549636841,object,base,image-image
Tour-Eiffel.jpg,image,Big-Ben.jpg,image,0.6617755889892578,object,base,image-image
Statue-of-Liberty.jpg,image,Big-Ben.jpg,image,0.6032252311706543,object,base,image-image
img: TOKYO-TOWER.jpg - text: Japan + text: France,custom,TOKYO-SKYTREE.jpg,image,0.7067625522613525,object,base,custom-image
img: TOKYO-TOWER.jpg - text: Japan + text: France,custom,Tour-Eiffel.jpg,image,0.7779386043548584,object,base,custom-image
img: TOKYO-TOWER.jpg - text: Japan + text: France,custom,Statue-of-Liberty.jpg,image,0.6554462909698486,object,base,custom-image
img: TOKYO-TOWER.jpg - text: Japan + text: France,custom,Big-Ben.jpg,image,0.5934765338897705,object,base,custom-image
img: TOKYO-TOWER.jpg - text: Japan + text: USA,custom,TOKYO-SKYTREE.jpg,image,0.7520030736923218,object,base,custom-image
img: TOKYO-TOWER.jpg - text: Japan + text: USA,custom,Tour-Eiffel.jpg,image,0.7675607800483704,object,base,custom-image
img: TOKYO-TOWER.jpg - text: Japan + text: USA,custom,Statue-of-Liberty.jpg,image,0.7028162479400635,object,base,custom-image
img: TOKYO-TOWER.jpg - text: Japan + text: USA,custom,Big-Ben.jpg,image,0.6087284088134766,object,base,custom-image
img: TOKYO-TOWER.jpg - text: Japan + text: UK,custom,TOKYO-SKYTREE.jpg,image,0.7246204614639282,object,base,custom-image
img: TOKYO-TOWER.jpg - text: Japan + text: UK,custom,Tour-Eiffel.jpg,image,0.7377574443817139,object,base,custom-image
img: TOKYO-TOWER.jpg - text: Japan + text: UK,custom,Statue-of-Liberty.jpg,image,0.6400812864303589,object,base,custom-image
img: TOKYO-TOWER.jpg - text: Japan + text: UK,custom,Big-Ben.jpg,image,0.6550351977348328,object,base,custom-image
img: TOKYO-TOWER.jpg - text: France + text: Japan,custom,TOKYO-SKYTREE.jpg,image,0.8018919229507446,object,base,custom-image
img: TOKYO-TOWER.jpg - text: France + text: Japan,custom,Tour-Eiffel.jpg,image,0.642724335193634,object,base,custom-image
img: TOKYO-TOWER.jpg - text: France + text: Japan,custom,Statue-of-Liberty.jpg,image,0.5910259485244751,object,base,custom-image
img: TOKYO-TOWER.jpg - text: France + text: Japan,custom,Big-Ben.jpg,image,0.5158395171165466,object,base,custom-image
img: TOKYO-TOWER.jpg - text: France + text: USA,custom,TOKYO-SKYTREE.jpg,image,0.7787213921546936,object,base,custom-image
img: TOKYO-TOWER.jpg - text: France + text: USA,custom,Tour-Eiffel.jpg,image,0.6783912181854248,object,base,custom-image
img: TOKYO-TOWER.jpg - text: France + text: USA,custom,Statue-of-Liberty.jpg,image,0.650763213634491,object,base,custom-image
img: TOKYO-TOWER.jpg - text: France + text: USA,custom,Big-Ben.jpg,image,0.5527797341346741,object,base,custom-image
img: TOKYO-TOWER.jpg - text: France + text: UK,custom,TOKYO-SKYTREE.jpg,image,0.7626717686653137,object,base,custom-image
img: TOKYO-TOWER.jpg - text: France + text: UK,custom,Tour-Eiffel.jpg,image,0.6592816114425659,object,base,custom-image
img: TOKYO-TOWER.jpg - text: France + text: UK,custom,Statue-of-Liberty.jpg,image,0.598685622215271,object,base,custom-image
img: TOKYO-TOWER.jpg - text: France + text: UK,custom,Big-Ben.jpg,image,0.6064286828041077,object,base,custom-image
img: TOKYO-TOWER.jpg - text: USA + text: Japan,custom,TOKYO-SKYTREE.jpg,image,0.7951623201370239,object,base,custom-image
img: TOKYO-TOWER.jpg - text: USA + text: Japan,custom,Tour-Eiffel.jpg,image,0.6893244981765747,object,base,custom-image
img: TOKYO-TOWER.jpg - text: USA + text: Japan,custom,Statue-of-Liberty.jpg,image,0.5760990381240845,object,base,custom-image
img: TOKYO-TOWER.jpg - text: USA + text: Japan,custom,Big-Ben.jpg,image,0.5291269421577454,object,base,custom-image
img: TOKYO-TOWER.jpg - text: USA + text: France,custom,TOKYO-SKYTREE.jpg,image,0.7264010310173035,object,base,custom-image
img: TOKYO-TOWER.jpg - text: USA + text: France,custom,Tour-Eiffel.jpg,image,0.7377023696899414,object,base,custom-image
img: TOKYO-TOWER.jpg - text: USA + text: France,custom,Statue-of-Liberty.jpg,image,0.5922589302062988,object,base,custom-image
img: TOKYO-TOWER.jpg - text: USA + text: France,custom,Big-Ben.jpg,image,0.5532224178314209,object,base,custom-image
