name_a,type_a,name_b,type_b,similarity,tag,model,a_b_type
TOKYO TOWER,text,TOKYO-TOWER.jpg,image,0.23724672198295593,object,large,text-image
TOKYO TOWER,text,TOKYO-SKYTREE.jpg,image,0.214379221200943,object,large,text-image
TOKYO TOWER,text,Tour-Eiffel.jpg,image,0.15929944813251495,object,large,text-image
TOKYO TOWER,text,Statue-of-Liberty.jpg,image,0.07695841044187546,object,large,text-image
TOKYO TOWER,text,Big-Ben.jpg,image,0.13686294853687286,object,large,text-image
TOKYO SKYTREE,text,TOKYO-TOWER.jpg,image,0.21511995792388916,object,large,text-image
TOKYO SKYTREE,text,TOKYO-SKYTREE.jpg,image,0.2731057405471802,object,large,text-image
TOKYO SKYTREE,text,Tour-Eiffel.jpg,image,0.15157565474510193,object,large,text-image
TOKYO SKYTREE,text,Statue-of-Liberty.jpg,image,0.10479661077260971,object,large,text-image
TOKYO SKYTREE,text,Big-Ben.jpg,image,0.1299877166748047,object,large,text-image
Tour Eiffel,text,TOKYO-TOWER.jpg,image,0.1970767229795456,object,large,text-image
Tour Eiffel,text,TOKYO-SKYTREE.jpg,image,0.17648880183696747,object,large,text-image
Tour Eiffel,text,Tour-Eiffel.jpg,image,0.2533043324947357,object,large,text-image
Tour Eiffel,text,Statue-of-Liberty.jpg,image,0.1527734398841858,object,large,text-image
Tour Eiffel,text,Big-Ben.jpg,image,0.1893302947282791,object,large,text-image
Statue of Liberty,text,TOKYO-TOWER.jpg,image,0.15113790333271027,object,large,text-image
Statue of Liberty,text,TOKYO-SKYTREE.jpg,image,0.15343278646469116,object,large,text-image
Statue of Liberty,text,Tour-Eiffel.jpg,image,0.17920561134815216,object,large,text-image
Statue of Liberty,text,Statue-of-Liberty.jpg,image,0.24423740804195404,object,large,text-image
Statue of Liberty,text,Big-Ben.jpg,image,0.15950743854045868,object,large,text-image
Big Ben,text,TOKYO-TOWER.jpg,image,0.1450427919626236,object,large,text-image
Big Ben,text,TOKYO-SKYTREE.jpg,image,0.14362181723117828,object,large,text-image
Big Ben,text,Tour-Eiffel.jpg,image,0.17694175243377686,object,large,text-image
Big Ben,text,Statue-of-Liberty.jpg,image,0.143056720495224,object,large,text-image
Big Ben,text,Big-Ben.jpg,image,0.29789483547210693,object,large,text-image
TOKYO TOWER,text,Japan,text,0.6954718232154846,object,large,text-text
TOKYO TOWER,text,France,text,0.5213491320610046,object,large,text-text
TOKYO TOWER,text,USA,text,0.5434901714324951,object,large,text-text
TOKYO TOWER,text,UK,text,0.4923864006996155,object,large,text-text
TOKYO SKYTREE,text,Japan,text,0.6655317544937134,object,large,text-text
TOKYO SKYTREE,text,France,text,0.5211259126663208,object,large,text-text
TOKYO SKYTREE,text,USA,text,0.5393105745315552,object,large,text-text
TOKYO SKYTREE,text,UK,text,0.49979838728904724,object,large,text-text
Tour Eiffel,text,Japan,text,0.7018792629241943,object,large,text-text
Tour Eiffel,text,France,text,0.7209696173667908,object,large,text-text
Tour Eiffel,text,USA,text,0.7110517024993896,object,large,text-text
Tour Eiffel,text,UK,text,0.6457070708274841,object,large,text-text
Statue of Liberty,text,Japan,text,0.6939597129821777,object,large,text-text
Statue of Liberty,text,France,text,0.7425971031188965,object,large,text-text
Statue of Liberty,text,USA,text,0.7443763017654419,object,large,text-text
Statue of Liberty,text,UK,text,0.6409265398979187,object,large,text-text
Big Ben,text,Japan,text,0.6956442594528198,object,large,text-text
Big Ben,text,France,text,0.7277962565422058,object,large,text-text
Big Ben,text,USA,text,0.7189095616340637,object,large,text-text
Big Ben,text,UK,text,0.6914072632789612,object,large,text-text
Japan,text,TOKYO-TOWER.jpg,image,0.20159167051315308,object,large,text-image
Japan,text,TOKYO-SKYTREE.jpg,image,0.20154233276844025,object,large,text-image
